,itemcode,date,close_val,change_val,change_rate,acc_quant,acc_amount,log_change_rate,lunage
2006,KOSDAQ,20170202,61304,-1064.0,-1.71,1255856,3195021,-1.7207,5.5
2007,KOSDAQ,20170203,60921,-383.0,-0.62,1197691,3148915,-0.6267,6.5
2008,KOSDAQ,20170206,61096,175.0,0.29,644021,2546355,0.2868,9.5
2009,KOSDAQ,20170207,60872,-224.0,-0.37,673461,2777212,-0.3673,10.5
2010,KOSDAQ,20170208,60879,7.0,0.01,709929,2856279,0.0115,11.5
2011,KOSDAQ,20170209,61104,225.0,0.37,1035705,3050341,0.3689,12.5
2012,KOSDAQ,20170210,61058,-46.0,-0.08,1095899,3288651,-0.0753,13.5
2013,KOSDAQ,20170213,61194,136.0,0.22,854827,2454716,0.2225,16.5
2014,KOSDAQ,20170214,61154,-40.0,-0.07,819207,2542035,-0.0654,17.5
2015,KOSDAQ,20170215,61595,441.0,0.72,885580,2684414,0.7185,18.5
2016,KOSDAQ,20170216,61658,63.0,0.1,940941,2853151,0.1022,19.5
2017,KOSDAQ,20170217,61870,212.0,0.34,1107133,2827799,0.3432,20.5
2018,KOSDAQ,20170220,61997,127.0,0.21,904341,2830335,0.2051,23.5
2019,KOSDAQ,20170221,62247,250.0,0.4,1151215,2975034,0.4024,24.5
2020,KOSDAQ,20170222,62139,-108.0,-0.17,950116,3021228,-0.1737,25.5
2021,KOSDAQ,20170223,61767,-372.0,-0.6,793813,2515272,-0.6005,26.5
2022,KOSDAQ,20170224,61475,-292.0,-0.47,945489,2686125,-0.4739,27.5
2023,KOSDAQ,20170227,61212,-263.0,-0.43,600675,2172927,-0.4287,0.9
2024,KOSDAQ,20170228,61220,8.0,0.01,659140,2474721,0.0131,1.9
2025,KOSDAQ,20170302,60893,-327.0,-0.53,683364,2488113,-0.5356,3.9
2026,KOSDAQ,20170303,60073,-820.0,-1.35,875891,2705040,-1.3558,4.9
2027,KOSDAQ,20170306,60405,332.0,0.55,670375,2221590,0.5511,7.9
2028,KOSDAQ,20170307,60605,200.0,0.33,1007545,2485769,0.3306,8.9
2029,KOSDAQ,20170308,60575,-30.0,-0.05,872848,2161591,-0.0495,9.9
2030,KOSDAQ,20170309,60613,38.0,0.06,875641,2551842,0.0627,10.9
2031,KOSDAQ,20170310,61226,613.0,1.01,1234461,3336000,1.0063,11.9
2032,KOSDAQ,20170313,61559,333.0,0.54,796297,2716127,0.5424,14.9
2033,KOSDAQ,20170314,61412,-147.0,-0.24,1051982,3454533,-0.2391,15.9
2034,KOSDAQ,20170315,60868,-544.0,-0.89,1062323,3762982,-0.8898,16.9
2035,KOSDAQ,20170316,61388,520.0,0.85,892360,3382717,0.8507,17.9
2036,KOSDAQ,20170317,61326,-62.0,-0.1,814727,3333977,-0.101,18.9
2037,KOSDAQ,20170320,60911,-415.0,-0.68,726495,2945508,-0.679,21.9
2038,KOSDAQ,20170321,60973,62.0,0.1,822695,3178410,0.1017,22.9
2039,KOSDAQ,20170322,60757,-216.0,-0.35,709281,2972229,-0.3549,23.9
2040,KOSDAQ,20170323,60553,-204.0,-0.34,807940,3591404,-0.3363,24.9
2041,KOSDAQ,20170324,60818,265.0,0.44,735318,3018397,0.4367,25.9
2042,KOSDAQ,20170327,60707,-111.0,-0.18,805214,3192107,-0.1827,28.9
2043,KOSDAQ,20170328,61228,521.0,0.86,796480,2969475,0.8546,0.4
2044,KOSDAQ,20170329,61363,135.0,0.22,777536,3048644,0.2202,1.4
2045,KOSDAQ,20170330,61468,105.0,0.17,791136,3074800,0.171,2.4
2046,KOSDAQ,20170331,61928,460.0,0.75,765862,3222360,0.7456,3.4
2047,KOSDAQ,20170403,62852,924.0,1.49,758052,3397905,1.481,6.4
2048,KOSDAQ,20170404,62549,-303.0,-0.48,979528,4286676,-0.4833,7.4
2049,KOSDAQ,20170405,63017,468.0,0.75,910161,3885874,0.7454,8.4
2050,KOSDAQ,20170406,63046,29.0,0.05,859211,3678991,0.046,9.4
2051,KOSDAQ,20170407,63332,286.0,0.45,820455,3541120,0.4526,10.4
2052,KOSDAQ,20170410,61941,-1391.0,-2.2,852724,4021429,-2.2208,13.4
2053,KOSDAQ,20170411,62164,223.0,0.36,801271,3769056,0.3594,14.4
2054,KOSDAQ,20170412,62145,-19.0,-0.03,679105,3048885,-0.0306,15.4
2055,KOSDAQ,20170413,62387,242.0,0.39,735261,3769454,0.3887,16.4
2056,KOSDAQ,20170414,61824,-563.0,-0.9,690488,3374862,-0.9065,17.4
2057,KOSDAQ,20170417,62947,1123.0,1.82,591005,3065916,1.8001,20.4
2058,KOSDAQ,20170418,63473,526.0,0.84,904818,3673118,0.8322,21.4
2059,KOSDAQ,20170419,63599,126.0,0.2,806290,3552757,0.1983,22.4
2060,KOSDAQ,20170420,63580,-19.0,-0.03,866508,3654092,-0.0299,23.4
2061,KOSDAQ,20170421,63496,-84.0,-0.13,693645,3166783,-0.1322,24.4
2062,KOSDAQ,20170424,62662,-834.0,-1.31,694303,3043652,-1.3222,27.4
2063,KOSDAQ,20170425,63257,595.0,0.95,800887,2937097,0.9451,28.4
2064,KOSDAQ,20170426,63511,254.0,0.4,728613,2816511,0.4007,29.4
2065,KOSDAQ,20170427,63111,-400.0,-0.63,656023,2652887,-0.6318,1.0
2066,KOSDAQ,20170428,62824,-287.0,-0.45,731304,2810338,-0.4558,2.0
2067,KOSDAQ,20170502,62643,-181.0,-0.29,571402,2461523,-0.2885,6.0
2068,KOSDAQ,20170504,63511,868.0,1.39,474753,2120462,1.3761,8.0
2069,KOSDAQ,20170508,64339,828.0,1.3,536163,2746492,1.2953,12.0
2070,KOSDAQ,20170510,64268,-71.0,-0.11,744255,2983695,-0.1104,14.0
2071,KOSDAQ,20170511,64758,490.0,0.76,724155,3183449,0.7595,15.0
2072,KOSDAQ,20170512,64373,-385.0,-0.59,752632,3040544,-0.5963,16.0
2073,KOSDAQ,20170515,64538,165.0,0.26,690738,2810997,0.256,19.0
2074,KOSDAQ,20170516,63911,-627.0,-0.97,717119,3157398,-0.9763,20.0
2075,KOSDAQ,20170517,64001,90.0,0.14,615567,2812794,0.1407,21.0
2076,KOSDAQ,20170518,63812,-189.0,-0.3,776992,3096358,-0.2957,22.0
2077,KOSDAQ,20170519,64245,433.0,0.68,717634,2800259,0.6763,23.0
2078,KOSDAQ,20170522,64262,17.0,0.03,744750,2810512,0.0265,26.0
2079,KOSDAQ,20170523,64473,211.0,0.33,792702,2976299,0.3278,27.0
2080,KOSDAQ,20170524,64604,131.0,0.2,826799,3018914,0.203,28.0
2081,KOSDAQ,20170525,64302,-302.0,-0.47,759129,2867248,-0.4686,29.0
2082,KOSDAQ,20170526,64601,299.0,0.46,649138,2732922,0.4639,0.7
2083,KOSDAQ,20170529,64298,-303.0,-0.47,618425,2837280,-0.4701,3.7
2084,KOSDAQ,20170530,64906,608.0,0.95,592724,2917372,0.9412,4.7
2085,KOSDAQ,20170531,65204,298.0,0.46,656574,3087174,0.4581,5.7
2086,KOSDAQ,20170601,65383,179.0,0.27,662657,3005435,0.2741,6.7
2087,KOSDAQ,20170602,65878,495.0,0.76,613062,3114369,0.7542,7.7
2088,KOSDAQ,20170605,66232,354.0,0.54,569386,3165812,0.5359,10.7
2089,KOSDAQ,20170607,66646,414.0,0.63,783054,3334120,0.6231,12.7
2090,KOSDAQ,20170608,66997,351.0,0.53,665424,3819592,0.5253,13.7
2091,KOSDAQ,20170609,67415,418.0,0.62,616609,3309750,0.622,14.7
2092,KOSDAQ,20170612,66486,-929.0,-1.38,574253,3296630,-1.3876,17.7
2093,KOSDAQ,20170613,66923,437.0,0.66,620428,3500921,0.6551,18.7
2094,KOSDAQ,20170614,67159,236.0,0.35,638245,3417231,0.352,19.7
2095,KOSDAQ,20170615,66982,-177.0,-0.26,663981,3349509,-0.2639,20.7
2096,KOSDAQ,20170616,67070,88.0,0.13,599977,3448462,0.1313,21.7
2097,KOSDAQ,20170619,67544,474.0,0.71,573408,3355800,0.7042,24.7
2098,KOSDAQ,20170620,66941,-603.0,-0.89,722950,3844806,-0.8968,25.7
2099,KOSDAQ,20170621,66577,-364.0,-0.54,607192,3240065,-0.5452,26.7
2100,KOSDAQ,20170622,66328,-249.0,-0.37,693258,3230496,-0.3747,27.7
