,itemcode,date,close_val,change_val,change_rate,acc_quant,acc_amount,log_change_rate,lunage
408,KOSPI,20100817,175503,1172.0,0.67,420235,4388423,0.67,7.4
409,KOSPI,20100818,176199,696.0,0.4,366343,4939888,0.3958,8.4
410,KOSPI,20100819,177964,1765.0,1.0,339856,5160738,0.9967,9.4
411,KOSPI,20100820,177554,-410.0,-0.23,352250,4563890,-0.2306,10.4
412,KOSPI,20100823,176771,-783.0,-0.44,325546,5208432,-0.442,13.4
413,KOSPI,20100824,176053,-718.0,-0.41,394852,4984898,-0.407,14.4
414,KOSPI,20100825,173479,-2574.0,-1.46,339990,4658856,-1.4729,15.4
415,KOSPI,20100826,172976,-503.0,-0.29,297556,4520938,-0.2904,16.4
416,KOSPI,20100827,172956,-20.0,-0.01,241488,4017037,-0.0116,17.4
417,KOSPI,20100830,176013,3057.0,1.77,241958,3875505,1.7521,20.4
418,KOSPI,20100831,174275,-1738.0,-0.99,282621,4985720,-0.9923,21.4
419,KOSPI,20100901,176469,2194.0,1.26,297586,5746409,1.2511,22.4
420,KOSPI,20100902,177573,1104.0,0.63,286858,5552244,0.6237,23.4
421,KOSPI,20100903,178002,429.0,0.24,306231,5948185,0.2413,24.4
422,KOSPI,20100906,179242,1240.0,0.7,322840,5346082,0.6942,27.4
423,KOSPI,20100907,178774,-468.0,-0.26,310243,4724200,-0.2614,28.4
424,KOSPI,20100908,177922,-852.0,-0.48,317336,4898150,-0.4777,0.1
425,KOSPI,20100909,178436,514.0,0.29,361781,5964915,0.2885,1.1
426,KOSPI,20100910,180258,1822.0,1.02,335262,5485420,1.0159,2.1
427,KOSPI,20100913,181886,1628.0,0.9,374699,6493473,0.8991,5.1
428,KOSPI,20100914,181525,-361.0,-0.2,378302,6700901,-0.1987,6.1
429,KOSPI,20100915,182388,863.0,0.48,332776,6511379,0.4743,7.1
430,KOSPI,20100916,181185,-1203.0,-0.66,328318,5655617,-0.6618,8.1
431,KOSPI,20100917,182735,1550.0,0.86,305483,6341274,0.8518,9.1
432,KOSPI,20100920,183263,528.0,0.29,237838,4050866,0.2885,12.1
433,KOSPI,20100924,184660,1397.0,0.76,268658,5497383,0.7594,16.1
434,KOSPI,20100927,186083,1423.0,0.77,377726,6866393,0.7677,19.1
435,KOSPI,20100928,185597,-486.0,-0.26,348367,6266654,-0.2615,20.1
436,KOSPI,20100929,186645,1048.0,0.56,350194,7052910,0.5631,21.1
437,KOSPI,20100930,187281,636.0,0.34,347158,6181226,0.3402,22.1
438,KOSPI,20101001,187673,392.0,0.21,353840,6575660,0.2091,23.1
439,KOSPI,20101004,187929,256.0,0.14,382944,6928487,0.1363,26.1
440,KOSPI,20101005,187894,-35.0,-0.02,332825,6172070,-0.0186,27.1
441,KOSPI,20101006,190395,2501.0,1.33,381498,7309839,1.3223,28.1
442,KOSPI,20101007,190085,-310.0,-0.16,392249,7385781,-0.163,29.1
443,KOSPI,20101008,189707,-378.0,-0.2,360325,6205291,-0.1991,0.7
444,KOSPI,20101011,188991,-716.0,-0.38,334824,5928736,-0.3781,3.7
445,KOSPI,20101012,186804,-2187.0,-1.16,308759,5753878,-1.1639,4.7
446,KOSPI,20101013,187615,811.0,0.43,313340,5898392,0.4332,5.7
447,KOSPI,20101014,189976,2361.0,1.26,367707,7328351,1.2506,6.7
448,KOSPI,20101015,190229,253.0,0.13,353203,5943179,0.1331,7.7
449,KOSPI,20101018,187542,-2687.0,-1.41,366278,5576013,-1.4226,10.7
450,KOSPI,20101019,185732,-1810.0,-0.97,419447,5538082,-0.9698,11.7
451,KOSPI,20101020,187044,1312.0,0.71,360159,5812827,0.7039,12.7
452,KOSPI,20101021,187469,425.0,0.23,385806,6364515,0.227,13.7
453,KOSPI,20101022,189731,2262.0,1.21,341553,5799414,1.1994,14.7
454,KOSPI,20101025,191571,1840.0,0.97,399042,6462872,0.9651,17.7
455,KOSPI,20101026,191941,370.0,0.19,343603,6368405,0.193,18.7
456,KOSPI,20101027,190954,-987.0,-0.51,386307,6679911,-0.5155,19.7
457,KOSPI,20101028,190787,-167.0,-0.09,338102,5393276,-0.0875,20.7
458,KOSPI,20101029,188295,-2492.0,-1.31,370303,5947544,-1.3148,21.7
459,KOSPI,20101101,191474,3179.0,1.69,335036,5936966,1.6742,24.7
460,KOSPI,20101102,191804,330.0,0.17,334570,6359299,0.1722,25.7
461,KOSPI,20101103,193597,1793.0,0.93,352052,6696137,0.9305,26.7
462,KOSPI,20101104,194250,653.0,0.34,313332,6286418,0.3367,27.7
463,KOSPI,20101105,193896,-354.0,-0.18,393049,7815291,-0.1824,28.7
464,KOSPI,20101108,194241,345.0,0.18,302924,5381084,0.1778,2.3
465,KOSPI,20101109,194746,505.0,0.26,284898,5404017,0.2596,3.3
466,KOSPI,20101110,196785,2039.0,1.05,333638,6225588,1.0416,4.3
467,KOSPI,20101111,191473,-5312.0,-2.7,357814,9324601,-2.7365,5.3
468,KOSPI,20101112,191312,-161.0,-0.08,435859,8408718,-0.0841,6.3
469,KOSPI,20101115,191381,69.0,0.04,289656,5993344,0.0361,9.3
470,KOSPI,20101116,189913,-1468.0,-0.77,326736,6918067,-0.77,10.3
471,KOSPI,20101117,189711,-202.0,-0.11,272739,5716000,-0.1064,11.3
472,KOSPI,20101118,192786,3075.0,1.62,264637,5603776,1.6079,12.3
473,KOSPI,20101119,194096,1310.0,0.68,285886,5969853,0.6772,13.3
474,KOSPI,20101122,194434,338.0,0.17,313944,7305545,0.174,16.3
475,KOSPI,20101123,192894,-1540.0,-0.79,358610,6920408,-0.7952,17.3
476,KOSPI,20101124,192598,-296.0,-0.15,445264,7965238,-0.1536,18.3
477,KOSPI,20101125,192768,170.0,0.09,316613,5610698,0.0882,19.3
478,KOSPI,20101126,190180,-2588.0,-1.34,452680,5728377,-1.3516,20.3
479,KOSPI,20101129,189554,-626.0,-0.33,294175,4503568,-0.3297,23.3
480,KOSPI,20101130,190463,909.0,0.48,422527,5950850,0.4784,24.3
481,KOSPI,20101201,192932,2469.0,1.3,327296,4878658,1.288,25.3
482,KOSPI,20101202,195026,2094.0,1.09,427608,5787027,1.0795,26.3
483,KOSPI,20101203,195726,700.0,0.36,426801,6559984,0.3583,27.3
484,KOSPI,20101206,195364,-362.0,-0.18,452782,5403549,-0.1851,0.8
485,KOSPI,20101207,196252,888.0,0.45,629588,6159736,0.4535,1.8
486,KOSPI,20101208,195572,-680.0,-0.35,485741,5412651,-0.3471,2.8
